publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p860215,earthquake,2016-11-14T06:43:00.133Z,2016-11-14T06:51:29.857Z,174.2837886,-41.73240431,5.627418167,23.046875,M,,NonLinLoc,confirmed,manual,nz3drx,56,35,26,0.05543337662,173.2238548,0.9829192522,0
2016p860213,,2016-11-14T06:41:41.284Z,2016-11-14T06:44:29.154Z,175.7670137,-39.54940901,2.038760589,24.6875,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.2379419678,237.7145119,0.7759256204,0
2016p860211,,2016-11-14T06:40:54.633Z,2016-11-14T06:44:27.092Z,174.0355252,-41.9628697,3.426144143,25.625,M,,NonLinLoc,,automatic,nz3drx,48,48,31,0.2518098791,135.5729942,1.272777233,0
2016p860206,,2016-11-14T06:38:13.799Z,2016-11-14T06:41:22.102Z,173.788422,-42.43286722,3.638838309,24.6875,M,,NonLinLoc,,automatic,nz3drx,41,41,28,0.1847187683,149.9620138,1.434992116,0
2016p860205,,2016-11-14T06:37:16.350Z,2016-11-14T06:40:31.055Z,173.0975681,-42.63814068,3.55402468,16.71875,M,,NonLinLoc,,automatic,nz3drx,28,28,17,0.3324146591,125.7588013,1.000643038,0
2016p860202,,2016-11-14T06:36:02.132Z,2016-11-14T06:39:20.130Z,174.2685236,-41.73112222,3.164012956,12.96875,M,,NonLinLoc,,automatic,nz3drx,43,43,30,0.04539476966,141.0838232,1.19520417,0
2016p860200,,2016-11-14T06:34:42.976Z,2016-11-14T06:37:26.018Z,172.8591629,-42.71136763,3.275957485,10.15625,M,,NonLinLoc,,automatic,nz3drx,14,14,10,0.2866808274,113.3025232,1.029841552,0
2016p860197,,2016-11-14T06:33:28.585Z,2016-11-14T06:35:20.268Z,173.1147616,-42.46171006,3.228919984,15.78125,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.3165182163,104.9623329,0.8541438462,0
2016p860192,,2016-11-14T06:30:24.968Z,2016-11-14T06:33:58.947Z,173.3923649,-42.52317191,4.2229105,15.78125,M,,NonLinLoc,,automatic,nz3drx,16,16,8,0.1526549695,146.1571942,0.508542324,0
2016p860191,,2016-11-14T06:29:58.678Z,2016-11-14T06:32:04.570Z,176.3319222,-39.00647501,3.17740951,5.9375,M,,NonLinLoc,,automatic,nz3drx,11,11,9,0.3759661129,242.8838814,1.044258926,0
2016p860189,earthquake,2016-11-14T06:29:05.036Z,2016-11-14T06:35:13.287Z,174.2993099,-41.75287857,4.487918479,16.015625,M,,NonLinLoc,confirmed,manual,nz3drx,29,20,16,0.06363729761,193.6038128,1.01550712,0
2016p860183,,2016-11-14T06:25:57.115Z,2016-11-14T06:29:16.802Z,174.4266486,-41.70656984,3.863427512,9.921875,M,,NonLinLoc,,automatic,nz3drx,83,83,62,0.1653420712,139.9041417,2.274011839,0
2016p860180,,2016-11-14T06:24:06.743Z,2016-11-14T06:26:47.858Z,174.2150758,-41.75791475,2.876431714,28.4375,M,,NonLinLoc,,automatic,nz3drx,21,21,12,0.007247267262,127.1805988,1.049971163,0
2016p860174,,2016-11-14T06:20:51.567Z,2016-11-14T06:23:21.926Z,174.3223992,-41.68015443,3.261084532,9.921875,M,,NonLinLoc,,automatic,nz3drx,13,13,11,0.1081140399,123.6850961,0.7107998648,0
2016p860169,,2016-11-14T06:18:08.521Z,2016-11-14T06:21:37.790Z,173.2549252,-42.55924351,4.114033516,27.96875,M,,NonLinLoc,,automatic,nz3drx,46,46,35,0.2542790692,129.4528275,1.151157584,0
2016p860168,,2016-11-14T06:17:37.249Z,2016-11-14T06:19:53.895Z,175.8378879,-39.2131227,2.297424314,24.21875,M,,NonLinLoc,,automatic,nz3drx,11,11,8,0.1859587834,144.0381752,0.5955156755,0
2016p860166,earthquake,2016-11-14T06:16:31.966Z,2016-11-14T06:20:12.404Z,173.0430944,-42.62654885,3.948112504,31.71875,M,,NonLinLoc,confirmed,manual,nz3drx,48,38,30,0.3408387998,119.2869985,0.8209170138,0
2016p860160,,2016-11-14T06:13:42.527Z,2016-11-14T06:15:45.110Z,174.4803441,-41.97587483,2.942472141,29.375,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.2976995678,253.751399,1.60764211,0
2016p860155,,2016-11-14T06:11:11.260Z,2016-11-14T06:13:15.180Z,174.0229193,-41.63882328,2.666036838,24.6875,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1351751542,80.69445606,0.8768702917,0
2016p860153,,2016-11-14T06:09:52.330Z,2016-11-14T06:12:07.713Z,173.6532656,-42.3004521,3.057471056,19.53125,M,,NonLinLoc,,automatic,nz3drx,16,16,11,0.1435622994,141.6107912,1.01470487,0
2016p860149,,2016-11-14T06:08:07.149Z,2016-11-14T06:10:20.672Z,174.2862343,-41.67408757,3.009800145,9.921875,M,,NonLinLoc,,automatic,nz3drx,13,13,10,0.0943122413,134.4828526,0.4577845452,0
2016p860145,earthquake,2016-11-14T06:05:17.798Z,2016-11-14T06:12:13.907Z,174.2943549,-41.68183315,3.837619717,17.65625,M,,NonLinLoc,confirmed,manual,nz3drx,48,33,25,0.09196939464,134.9599724,0.753224871,0
2016p860141,,2016-11-14T06:03:17.333Z,2016-11-14T06:05:22.993Z,175.8917919,-39.40815053,2.549684428,5.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1072267798,96.85769801,0.5764092616,0
2016p860139,,2016-11-14T06:02:33.588Z,2016-11-14T06:04:36.185Z,174.1678726,-41.70147506,3.789333703,9.21875,M,,NonLinLoc,,automatic,nz3drx,10,10,8,0.0596695469,120.4645072,0.2630955588,0
2016p860138,earthquake,2016-11-14T06:01:41.967Z,2016-11-14T06:38:12.024Z,173.0008545,-42.40628815,3.987911411,33.80812073,M,,LOCSAT,confirmed,manual,iasp91,40,25,19,0.3986328244,85.88671112,0.7300808015,0
2016p860136,,2016-11-14T06:00:43.732Z,2016-11-14T06:03:13.260Z,174.2987986,-41.71449421,3.669753304,8.984375,M,,NonLinLoc,,automatic,nz3drx,31,31,23,0.07335187407,140.4898995,0.8134430872,0
2016p860134,,2016-11-14T05:59:39.320Z,2016-11-14T06:03:02.551Z,174.2922848,-41.73765834,3.631767655,5.234375,M,,NonLinLoc,,automatic,nz3drx,36,36,27,0.06002206828,127.8755281,0.8590280571,0
2016p860129,,2016-11-14T05:57:01.040Z,2016-11-14T05:59:33.985Z,173.5726177,-42.45330241,3.691730716,45.3125,M,,NonLinLoc,,automatic,nz3drx,17,17,12,0.7720357467,173.0835497,1.4461067,0
2016p860128,,2016-11-14T05:56:28.615Z,2016-11-14T05:58:52.384Z,173.6467925,-42.30193251,3.669425663,20.9375,M,,NonLinLoc,,automatic,nz3drx,20,20,16,0.1395546636,138.1844615,0.7295063839,0
2016p860125,,2016-11-14T05:54:46.166Z,2016-11-14T05:57:04.157Z,173.8321168,-42.15381389,3.102148734,26.5625,M,,NonLinLoc,,automatic,nz3drx,18,18,8,0.3415251569,142.6901078,0.5411133933,0
2016p860119,earthquake,2016-11-14T05:51:37.043Z,2016-11-14T06:08:48.396Z,173.8087547,-42.30330674,4.384636788,33.125,M,,NonLinLoc,confirmed,manual,nz3drx,34,28,21,0.5892327144,143.8458321,1.420458515,0
2016p860118,,2016-11-14T05:51:14.811Z,2016-11-14T05:53:49.669Z,175.83098,-39.46632203,3.350014287,9.21875,M,,NonLinLoc,,automatic,nz3drx,16,16,13,0.4605030145,92.6405998,1.230786045,0
2016p860117,earthquake,2016-11-14T05:50:26.504Z,2016-11-14T06:14:48.671Z,174.0158203,-42.01067837,3.895560111,32.65625,M,,NonLinLoc,confirmed,manual,nz3drx,26,19,15,0.3005541781,152.5673733,1.511012591,0
2016p860111,earthquake,2016-11-14T05:47:13.914Z,2016-11-14T06:17:43.888Z,174.2786136,-41.70472634,4.444867713,12.03125,M,,NonLinLoc,confirmed,manual,nz3drx,16,11,9,0.06709563514,215.725008,0.57717075,0
2016p860110,earthquake,2016-11-14T05:46:32.461Z,2016-11-14T05:55:02.095Z,174.1541116,-41.69022679,4.178524085,16.484375,M,,NonLinLoc,confirmed,manual,nz3drx,56,35,27,0.07469479878,68.54464198,0.7224642216,0
2016p860109,,2016-11-14T05:46:02.010Z,2016-11-14T05:48:18.144Z,174.2700005,-41.72115603,3.95225583,13.90625,M,,NonLinLoc,,automatic,nz3drx,20,20,16,0.05151617874,139.8538313,0.5701410381,0
