publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p859929,earthquake,2016-11-14T04:10:21.550Z,2016-11-14T04:19:51.577Z,173.5954137,-42.15525523,4.8795687,30.78125,M,,NonLinLoc,confirmed,manual,nz3drx,35,19,13,0.4873157985,144.9590739,0.8274184173,0
2016p859922,,2016-11-14T04:06:55.967Z,2016-11-14T04:09:29.035Z,176.1573533,-38.87445654,3.070201155,7.8125,M,,NonLinLoc,,automatic,nz3drx,15,15,11,0.2549755696,255.8215256,1.286396484,0
2016p859921,,2016-11-14T04:06:08.838Z,2016-11-14T04:08:17.178Z,175.7706283,-39.47115989,3.050587598,17.65625,M,,NonLinLoc,,automatic,nz3drx,11,11,9,0.06372950847,223.1956229,0.5331027665,0
2016p859920,earthquake,2016-11-14T04:05:46.223Z,2016-11-14T04:15:48.401Z,173.6581537,-42.30893789,4.714976668,28.4375,M,,NonLinLoc,confirmed,manual,nz3drx,61,36,25,0.1390662385,138.1333519,1.179386572,0
2016p859919,,2016-11-14T04:05:18.488Z,2016-11-14T04:07:35.646Z,173.6594637,-41.98691375,4.794599902,21.40625,M,,NonLinLoc,,automatic,nz3drx,12,12,10,0.3159600854,131.7505675,0.5174908867,0
2016p859918,,2016-11-14T04:04:32.924Z,2016-11-14T04:06:05.349Z,174.4910429,-41.64590679,2.645412188,28.4375,M,,NonLinLoc,,automatic,nz3drx,10,10,8,0.4189755285,215.2730231,0.6447707653,0
2016p859914,,2016-11-14T04:02:23.242Z,2016-11-14T04:05:43.932Z,174.2670464,-41.74108841,3.038018712,10.15625,M,,NonLinLoc,,automatic,nz3drx,18,18,13,0.04085517313,141.9737843,0.7104388117,0
2016p859913,,2016-11-14T04:02:08.487Z,2016-11-14T04:05:41.930Z,174.2681833,-39.57069356,2.623764744,60.3125,M,,NonLinLoc,,automatic,nz3drx,29,29,16,0.1528405067,102.3655107,2.250773861,0
2016p859912,,2016-11-14T04:01:21.012Z,2016-11-14T04:04:53.887Z,173.5434395,-42.47915641,3.534455997,58.4375,M,,NonLinLoc,,automatic,nz3drx,31,31,19,0.06320933322,155.8817642,2.052395735,0
2016p859906,,2016-11-14T03:58:13.835Z,2016-11-14T04:00:34.823Z,173.5563538,-42.43781125,3.190766519,9.21875,M,,NonLinLoc,,automatic,nz3drx,16,16,11,0.02521865969,153.1025509,0.9047709057,0
2016p859902,,2016-11-14T03:56:19.375Z,2016-11-14T03:59:07.368Z,174.7935874,-39.5799446,2.922534201,45.3125,M,,NonLinLoc,,automatic,nz3drx,14,14,9,0.4541364008,151.6740838,1.61429714,0
2016p859901,,2016-11-14T03:55:38.137Z,2016-11-14T03:58:18.633Z,174.0900935,-42.25810131,3.808341461,63.125,M,,NonLinLoc,,automatic,nz3drx,30,30,24,0.5625683041,166.9161673,2.546838524,0
2016p859899,,2016-11-14T03:54:52.730Z,2016-11-14T03:57:32.810Z,174.1594528,-41.88140837,3.635078621,34.53125,M,,NonLinLoc,,automatic,nz3drx,23,23,18,0.1374044606,134.6490524,0.7138698587,0
2016p859898,,2016-11-14T03:53:54.715Z,2016-11-14T03:55:58.528Z,174.3069259,-41.7222398,2.915494425,13.90625,M,,NonLinLoc,,automatic,nz3drx,21,21,16,0.07532690326,141.7833161,0.7045896389,0
2016p859895,,2016-11-14T03:52:31.611Z,2016-11-14T03:54:54.133Z,174.3339882,-41.70635199,3.00644615,13.90625,M,,NonLinLoc,,automatic,nz3drx,25,25,18,0.1004968402,164.9079913,0.8944647235,0
2016p859894,,2016-11-14T03:52:12.999Z,2016-11-14T03:53:33.226Z,175.6233198,-39.16699001,0.607791355,5.1171875,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.02284543061,130.3884073,0.4913990336,0
2016p859893,,2016-11-14T03:51:01.764Z,2016-11-14T03:53:10.766Z,173.8894637,-42.26560951,3.099811921,66.875,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.5489190013,238.0176832,1.075472949,0
2016p859888,,2016-11-14T03:48:48.390Z,2016-11-14T03:52:03.719Z,174.1928041,-41.74141244,3.652300868,6.640625,M,,NonLinLoc,,automatic,nz3drx,57,57,42,0.01822440986,95.47773662,1.741178422,0
2016p859885,,2016-11-14T03:47:06.192Z,2016-11-14T03:50:15.705Z,174.2093043,-41.87953132,3.461868566,14.84375,M,,NonLinLoc,,automatic,nz3drx,54,54,29,0.1289156551,136.3529809,1.712747161,0
2016p859880,earthquake,2016-11-14T03:44:26.789Z,2016-11-14T04:02:00.446Z,174.1242065,-41.89961624,4.020780229,12.71004105,M,,LOCSAT,confirmed,manual,iasp91,36,32,24,0.1647180319,133.8414459,1.042996909,0
2016p859878,,2016-11-14T03:43:10.517Z,2016-11-14T03:45:31.493Z,174.0657815,-41.92704951,3.376851342,49.0625,M,,NonLinLoc,,automatic,nz3drx,10,10,8,0.209280262,150.0529708,1.389424039,0
2016p859874,,2016-11-14T03:41:11.673Z,2016-11-14T03:53:49.742Z,176.1553194,-38.94273946,3.271250667,5.46875,M,,NonLinLoc,,automatic,nz3drx,17,17,13,0.0691567508,250.6419767,1.118647898,0
2016p859875,,2016-11-14T03:40:56.469Z,2016-11-14T03:43:24.590Z,171.385418,-43.59585047,3.443276952,44.375,M,,NonLinLoc,,automatic,nz3drx,13,13,10,0.2659742211,262.5376038,1.198299474,0
2016p859872,earthquake,2016-11-14T03:40:18.565Z,2016-11-14T03:53:35.775Z,174.3870697,-41.74411392,4.817576634,11.52038956,M,,LOCSAT,confirmed,manual,iasp91,44,38,30,0.1297366172,160.6244049,1.190084268,0
2016p859870,,2016-11-14T03:39:07.619Z,2016-11-14T03:41:21.571Z,174.2914098,-41.70176553,4.121771573,18.59375,M,,NonLinLoc,,automatic,nz3drx,14,14,10,0.07624217921,138.6699513,0.4402302498,0
2016p859866,,2016-11-14T03:36:37.834Z,2016-11-14T03:39:04.583Z,175.1426524,-40.56775933,3.752311536,40.625,M,,NonLinLoc,,automatic,nz3drx,12,12,10,1.385563207,154.9202504,1.562267808,0
2016p859865,earthquake,2016-11-14T03:36:10.164Z,2016-11-14T04:04:34.751Z,174.3220978,-41.72238159,3.907115136,9.626363754,M,,LOCSAT,confirmed,manual,iasp91,35,29,23,0.08529641479,139.1038589,0.8512679735,0
2016p859861,,2016-11-14T03:34:16.508Z,2016-11-14T03:36:28.203Z,174.2431792,-41.69367639,3.725901134,12.03125,M,,NonLinLoc,,automatic,nz3drx,24,24,18,0.0613240448,120.8048821,0.5593669481,0
2016p859859,,2016-11-14T03:33:11.635Z,2016-11-14T03:35:45.423Z,174.0937431,-41.9061786,3.815491881,20.46875,M,,NonLinLoc,,automatic,nz3drx,35,35,25,0.1804692289,133.9916711,0.8693735823,0
2016p859856,,2016-11-14T03:31:48.291Z,2016-11-14T03:35:09.551Z,174.2488192,-41.75973871,3.945558128,5.703125,M,,NonLinLoc,,automatic,nz3drx,75,75,55,0.02737517739,140.9094753,2.055663838,0
2016p859851,,2016-11-14T03:28:37.927Z,2016-11-14T03:30:54.192Z,175.5178542,-40.10209686,2.945399297,35.9375,M,,NonLinLoc,,automatic,nz3drx,15,15,11,0.7777614155,134.6232646,1.195642377,0
2016p859849,,2016-11-14T03:27:58.709Z,2016-11-14T03:30:28.155Z,174.1728614,-41.99858372,3.734485115,26.09375,M,,NonLinLoc,,automatic,nz3drx,29,29,18,0.2501661792,158.7469422,1.279851616,0
2016p859847,,2016-11-14T03:26:57.935Z,2016-11-14T03:29:20.486Z,174.1502613,-41.77770189,3.710972986,17.65625,M,,NonLinLoc,,automatic,nz3drx,22,22,18,0.0549872119,126.7182467,0.7976639719,0
2016p859845,,2016-11-14T03:25:30.783Z,2016-11-14T03:28:02.534Z,175.6868556,-39.52030372,2.096972888,11.5625,M,,NonLinLoc,,automatic,nz3drx,19,19,12,0.2676328752,142.0329847,0.8383218405,0
2016p859844,earthquake,2016-11-14T03:25:09.338Z,2016-11-14T04:11:26.813Z,173.3044128,-42.48379135,3.719471472,14.53725052,M,,LOCSAT,confirmed,manual,iasp91,47,44,32,0.1863596439,119.4000702,0.7441338809,0
2016p859843,,2016-11-14T03:24:31.123Z,2016-11-14T03:27:08.577Z,173.3622152,-42.59239336,3.752907877,18.59375,M,,NonLinLoc,,automatic,nz3drx,27,27,21,0.2198337974,139.0492111,1.796736315,0
2016p859837,,2016-11-14T03:21:20.580Z,2016-11-14T03:24:48.339Z,173.6602611,-42.21721989,3.865422407,24.21875,M,,NonLinLoc,,automatic,nz3drx,54,54,38,0.5269740458,164.7337218,2.26150948,0
2016p859830,,2016-11-14T03:17:51.254Z,2016-11-14T03:20:23.145Z,174.1439083,-42.14955698,3.250344412,45.3125,M,,NonLinLoc,,automatic,nz3drx,41,41,27,0.40291769,157.8723806,1.537881445,0
2016p859826,,2016-11-14T03:15:46.314Z,2016-11-14T03:18:22.362Z,174.3140602,-41.7157763,2.890027471,13.90625,M,,NonLinLoc,,automatic,nz3drx,28,28,18,0.326937478,191.4496666,1.368682575,0
2016p859825,,2016-11-14T03:15:01.038Z,2016-11-14T03:17:17.820Z,173.8336706,-42.1438477,3.241577248,36.875,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.7181271653,147.2308318,0.9648863964,0
2016p859821,,2016-11-14T03:12:57.814Z,2016-11-14T03:16:16.221Z,174.4858975,-41.72415591,3.082429946,5.46875,M,,NonLinLoc,,automatic,nz3drx,35,35,21,0.2049924922,145.6753514,2.0765653,0
2016p859817,,2016-11-14T03:10:39.659Z,2016-11-14T03:12:40.186Z,174.7991537,-39.62681474,2.848668041,15.3125,M,,NonLinLoc,,automatic,nz3drx,12,12,8,0.1909317262,154.0537408,1.343469145,0
2016p859815,,2016-11-14T03:09:56.009Z,2016-11-14T03:13:18.157Z,174.1331894,-42.0558167,3.809937492,19.0625,M,,NonLinLoc,,automatic,nz3drx,59,59,43,0.3117611043,144.7566274,2.14569473,0
2016p859813,,2016-11-14T03:08:32.187Z,2016-11-14T03:10:51.723Z,174.2744286,-41.69125746,2.828039121,5.46875,M,,NonLinLoc,,automatic,nz3drx,15,15,13,0.07512496956,141.2824254,0.5182206494,0
2016p859811,,2016-11-14T03:07:20.258Z,2016-11-14T03:10:06.145Z,173.2125405,-42.58805832,3.502537962,20.46875,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.2964211733,144.5083134,0.6470104905,0
2016p859808,,2016-11-14T03:06:00.326Z,2016-11-14T03:09:40.102Z,173.8115507,-42.36512617,3.900651853,26.09375,M,,NonLinLoc,,automatic,nz3drx,46,46,33,0.2079770428,146.5472285,1.822356939,0
2016p859807,,2016-11-14T03:05:22.527Z,2016-11-14T03:07:20.982Z,171.7869454,-43.00102417,2.805809119,5.46875,M,,NonLinLoc,,automatic,nz3drx,13,13,9,0.3749462425,101.054543,0.868338318,0
2016p859803,,2016-11-14T03:03:12.184Z,2016-11-14T03:06:30.127Z,172.8995533,-42.65911775,3.665956072,21.40625,M,,NonLinLoc,,automatic,nz3drx,23,23,14,0.323871737,99.37794094,0.7306931772,0
2016p859801,earthquake,2016-11-14T03:02:22.258Z,2016-11-14T03:09:38.314Z,174.2115479,-41.86271667,3.744297891,13.12944031,M,,LOCSAT,confirmed,manual,iasp91,14,8,6,0.1136261076,230.5852509,1.122913492,0
2016p859796,,2016-11-14T02:59:19.757Z,2016-11-14T03:03:00.015Z,173.2033876,-42.64287237,3.783408432,39.6875,M,,NonLinLoc,,automatic,nz3drx,25,25,16,0.3473421617,130.5029282,1.43441298,0
2016p859795,,2016-11-14T02:58:50.580Z,2016-11-14T03:03:22.214Z,174.2751819,-41.81139363,3.753692323,15.78125,M,,NonLinLoc,,automatic,nz3drx,58,58,44,0.07538947139,146.7422894,1.594391355,0
2016p859789,earthquake,2016-11-14T02:56:05.566Z,2016-11-14T03:04:41.210Z,173.5730182,-42.45081086,4.193531398,8.046875,M,,NonLinLoc,confirmed,manual,nz3drx,32,23,19,0.04277934311,181.0300367,0.7440820675,0
2016p859788,,2016-11-14T02:55:24.899Z,2016-11-14T02:58:37.963Z,174.2787436,-41.74560225,3.762333781,5.234375,M,,NonLinLoc,,automatic,nz3drx,56,56,42,0.04863599984,140.6383285,1.904329357,0
2016p859785,earthquake,2016-11-14T02:53:36.286Z,2016-11-14T03:14:04.457Z,174.667923,-41.48538208,2.837299738,35.38551331,M,,LOCSAT,confirmed,manual,iasp91,16,11,9,0.4426496625,275.4353409,1.010404909,0
2016p859784,,2016-11-14T02:53:23.218Z,2016-11-14T02:55:29.473Z,173.7785035,-42.09885461,3.425467815,17.1875,M,,NonLinLoc,,automatic,nz3drx,12,12,8,0.3897079179,154.9089767,1.384193924,0
2016p859781,,2016-11-14T02:51:36.974Z,2016-11-14T02:54:04.923Z,176.2793332,-39.46491976,2.8670248,19.0625,M,,NonLinLoc,,automatic,nz3drx,19,19,14,0.3238938389,224.3389172,1.269855127,0
2016p859780,earthquake,2016-11-14T02:50:49.510Z,2016-11-14T03:00:48.636Z,174.2575531,-41.68648911,4.139541809,7.827619076,M,,LOCSAT,confirmed,manual,iasp91,39,30,24,0.07053578645,126.2217484,0.7404603558,0
2016p859774,,2016-11-14T02:47:35.655Z,2016-11-14T02:51:07.869Z,173.0339321,-42.53280856,3.394842664,14.84375,M,,NonLinLoc,,automatic,nz3drx,28,28,19,0.3907107883,106.5083954,0.8875886688,0
2016p859771,,2016-11-14T02:46:28.693Z,2016-11-14T02:48:47.157Z,174.1148564,-42.75265673,3.411910831,93.125,M,,NonLinLoc,,automatic,nz3drx,10,10,8,0.5387160427,221.8223035,1.046620046,0
2016p859769,,2016-11-14T02:45:20.233Z,2016-11-14T02:48:04.934Z,173.8744264,-41.96149546,3.312790793,19.0625,M,,NonLinLoc,,automatic,nz3drx,19,19,13,0.2448748695,146.7305533,0.8973621356,0
2016p859768,,2016-11-14T02:44:45.803Z,2016-11-14T02:48:02.827Z,175.7459953,-39.47708151,1.960197002,9.21875,M,,NonLinLoc,,automatic,nz3drx,32,32,17,0.1846501695,102.4594128,1.366181846,0
2016p859766,,2016-11-14T02:43:53.991Z,2016-11-14T02:48:05.838Z,173.6322564,-42.31485951,3.729330756,65.9375,M,,NonLinLoc,,automatic,nz3drx,46,46,31,0.122750439,154.6851559,1.466413064,0
2016p859761,,2016-11-14T02:40:55.682Z,2016-11-14T02:43:25.771Z,174.2390024,-41.68020751,2.774232141,25.15625,M,,NonLinLoc,,automatic,nz3drx,19,19,14,0.07317031508,113.7558057,0.7690541162,0
2016p859759,,2016-11-14T02:39:57.521Z,2016-11-14T02:42:19.579Z,174.8386213,-41.4109471,2.581570141,15.78125,M,,NonLinLoc,,automatic,nz3drx,14,14,10,0.1348932782,103.5708153,0.9613501093,0
2016p859754,,2016-11-14T02:37:07.460Z,2016-11-14T02:45:51.518Z,174.2386348,-41.97381348,3.666478443,20.46875,M,,NonLinLoc,,automatic,nz3drx,27,27,18,0.2235840525,159.6785239,1.075180854,0
2016p859751,,2016-11-14T02:35:42.696Z,2016-11-14T02:38:06.546Z,173.3405162,-42.41986208,3.707886916,7.8125,M,,NonLinLoc,,automatic,nz3drx,11,11,9,0.1465716506,112.7857936,0.7079807809,0
2016p859750,,2016-11-14T02:35:24.273Z,2016-11-14T02:37:28.656Z,175.8752721,-39.44599301,2.415082736,5.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.4242901722,255.217825,0.9043279718,0
2016p859749,,2016-11-14T02:34:40.538Z,2016-11-14T02:38:04.705Z,174.2345585,-41.71010608,3.653569951,22.34375,M,,NonLinLoc,,automatic,nz3drx,56,56,42,0.04359542911,121.7214038,1.332155417,0
2016p859745,,2016-11-14T02:32:15.702Z,2016-11-14T02:35:17.037Z,175.8020221,-39.45877477,2.493154422,10.15625,M,,NonLinLoc,,automatic,nz3drx,17,17,11,0.2622431218,105.8576541,0.8388080037,0
2016p859743,earthquake,2016-11-14T02:31:26.556Z,2016-11-14T03:16:31.578Z,173.8110962,-41.98011398,3.868299363,4.958658695,M,,LOCSAT,confirmed,manual,iasp91,28,20,16,0.2693627775,140.5700226,0.5477668033,0
2016p859741,,2016-11-14T02:30:14.551Z,2016-11-14T02:33:29.769Z,174.328794,-41.67867402,3.8313623,9.921875,M,,NonLinLoc,,automatic,nz3drx,79,79,59,0.1127338795,123.7211842,1.91519127,0
2016p859740,,2016-11-14T02:29:35.765Z,2016-11-14T02:31:52.984Z,174.0412333,-41.88462058,3.54909673,23.28125,M,,NonLinLoc,,automatic,nz3drx,24,24,19,0.1869631624,144.3591284,0.7352696021,0
2016p859734,,2016-11-14T02:26:18.694Z,2016-11-14T02:29:32.576Z,173.8343354,-42.37913693,3.08001159,19.53125,M,,NonLinLoc,,automatic,nz3drx,34,34,21,0.2214440689,150.1356012,1.82906567,0
2016p859727,,2016-11-14T02:22:59.763Z,2016-11-14T02:25:28.490Z,173.8080805,-42.18815368,3.347353821,13.90625,M,,NonLinLoc,,automatic,nz3drx,24,24,17,0.3036525209,138.9730779,1.593785739,0
2016p859725,,2016-11-14T02:21:31.511Z,2016-11-14T02:23:52.729Z,173.9014817,-42.02735946,3.206193058,22.34375,M,,NonLinLoc,,automatic,nz3drx,13,13,9,0.3110976378,173.9429201,0.9342301255,0
2016p859724,earthquake,2016-11-14T02:21:21.875Z,2016-11-14T03:44:08.060Z,175.7429352,-39.64823532,2.957734377,11.09613037,M,,LOCSAT,confirmed,manual,iasp91,45,33,25,0.2412941605,80.92744446,0.6562103437,0
2016p859719,earthquake,2016-11-14T02:18:10.885Z,2016-11-14T03:20:06.542Z,174.0611725,-42.06324768,4.212407333,3.971685886,M,,LOCSAT,confirmed,manual,iasp91,21,13,11,0.3745944798,170.2015419,1.13106211,0
2016p859718,,2016-11-14T02:17:45.670Z,2016-11-14T02:20:14.735Z,174.2184179,-41.73549082,4.002491586,8.515625,M,,NonLinLoc,,automatic,nz3drx,27,27,19,0.01560618484,114.9477102,1.129944361,0
2016p859716,,2016-11-14T02:16:56.735Z,2016-11-14T02:19:19.258Z,174.0378434,-41.86616861,3.883344858,19.0625,M,,NonLinLoc,,automatic,nz3drx,23,23,17,0.1759570472,136.9531529,0.9985219946,0
2016p859715,,2016-11-14T02:16:10.504Z,2016-11-14T02:18:35.276Z,173.920759,-42.54683036,3.24850953,21.875,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.7763410461,193.3441485,1.285686541,0
2016p859710,,2016-11-14T02:13:58.088Z,2016-11-14T02:16:22.061Z,174.6682435,-39.96645849,3.268082341,40.625,M,,NonLinLoc,,automatic,nz3drx,18,18,13,0.8500577711,247.3612852,1.54773468,0
2016p859709,,2016-11-14T02:13:26.069Z,2016-11-14T02:18:58.462Z,174.3153158,-41.74917756,3.930445797,12.03125,M,,NonLinLoc,,automatic,nz3drx,47,47,36,0.07561031022,145.3590506,1.727380175,0
2016p859708,,2016-11-14T02:12:30.606Z,2016-11-14T02:17:23.398Z,173.9290118,-42.25174398,3.9785633,27.96875,M,,NonLinLoc,,automatic,nz3drx,31,31,22,0.3329834065,149.1748923,1.34247875,0
2016p859704,earthquake,2016-11-14T02:11:05.788Z,2016-11-14T03:36:13.773Z,176.0218265,-38.61816794,2.64096478,8.3984375,M,,NonLinLoc,confirmed,manual,nz3drx,21,15,10,0.01677511062,109.0364151,0.32739348,0
2016p859698,earthquake,2016-11-14T02:07:43.994Z,2016-11-14T02:13:16.326Z,173.2780151,-42.47437286,4.224374716,11.48498917,M,,LOCSAT,confirmed,manual,iasp91,46,41,31,0.2017758638,113.9547653,0.8642292194,0
2016p859697,,2016-11-14T02:06:53.227Z,2016-11-14T02:08:46.158Z,174.2276905,-41.67320213,3.299336897,9.21875,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.07830469855,116.690333,0.3066065265,0
2016p859689,earthquake,2016-11-14T02:02:50.228Z,2016-11-14T02:18:19.464Z,174.1797791,-41.81858063,3.860019537,7.58773756,M,,LOCSAT,confirmed,manual,iasp91,23,18,14,0.07402680069,142.9175262,0.8226810265,0
2016p859688,,2016-11-14T02:01:49.801Z,2016-11-14T02:04:37.216Z,174.5736352,-40.29721982,3.358671283,51.875,M,,NonLinLoc,,automatic,nz3drx,31,31,25,0.8449919739,118.4226736,2.433350893,0
2016p859686,earthquake,2016-11-14T02:01:12.432Z,2016-11-14T02:29:47.595Z,173.9506836,-42.04233932,3.865272162,12.05903721,M,,LOCSAT,confirmed,manual,iasp91,13,9,7,0.3319280446,151.6800995,1.634924758,0
2016p859683,,2016-11-14T01:59:20.904Z,2016-11-14T02:01:17.887Z,175.7508929,-39.43721675,2.016694742,14.84375,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.02882001835,117.4046969,0.4446886642,0
2016p859681,earthquake,2016-11-14T01:58:37.942Z,2016-11-14T02:35:14.854Z,174.1606903,-41.66440964,3.527274882,21.69531059,M,,LOCSAT,confirmed,manual,iasp91,12,8,6,0.09343216568,101.7847748,0.4405645595,0
2016p859678,,2016-11-14T01:56:53.431Z,2016-11-14T01:58:55.074Z,175.8027795,-39.55049277,3.009989,9.6875,M,,NonLinLoc,,automatic,nz3drx,11,11,9,0.397012497,244.3329274,0.8118992608,0
2016p859677,earthquake,2016-11-14T01:56:06.845Z,2016-11-14T02:37:28.931Z,173.9374084,-41.9447937,4.100155872,8.607546806,M,,LOCSAT,confirmed,manual,iasp91,25,17,13,0.2342787236,246.4840012,0.5943903171,0
2016p859675,,2016-11-14T01:55:39.616Z,2016-11-14T01:57:49.985Z,175.7459953,-39.47708151,2.679019619,5.46875,M,,NonLinLoc,,automatic,nz3drx,37,37,19,0.1846501695,75.24585812,1.932921185,0
2016p859674,,2016-11-14T01:54:36.543Z,2016-11-14T01:56:47.838Z,173.2258255,-42.5083288,3.940879605,5.46875,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.2491391506,128.8058777,1.678970093,0
2016p859671,,2016-11-14T01:53:12.498Z,2016-11-14T01:56:40.980Z,173.0543087,-42.52338425,3.799717236,27.96875,M,,NonLinLoc,,automatic,nz3drx,32,32,20,0.4441625061,132.8449176,1.085263914,0
2016p859669,,2016-11-14T01:51:56.525Z,2016-11-14T01:54:22.888Z,173.5877364,-40.49125903,3.061589334,73.4375,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.7216462345,124.7657322,1.092560216,0
2016p859664,,2016-11-14T01:49:29.406Z,2016-11-14T01:51:37.183Z,172.6754754,-42.93477456,3.09552465,34.0625,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.6053818769,118.7854567,1.331214005,0
2016p859662,,2016-11-14T01:47:44.301Z,2016-11-14T01:49:54.658Z,173.8362974,-42.04714661,3.66610236,49.0625,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.3321104207,242.9972299,0.9109350864,0
2016p859661,,2016-11-14T01:47:22.350Z,2016-11-14T01:49:19.487Z,175.8222252,-39.39103372,2.471635755,5.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.2327975686,145.3075476,0.881315658,0
2016p859658,earthquake,2016-11-14T01:46:18.840Z,2016-11-14T02:40:14.245Z,173.1952515,-42.60184479,4.154729369,10.80319405,M,,LOCSAT,confirmed,manual,iasp91,39,33,25,0.3147988915,130.5103035,0.9167199812,0
2016p859657,,2016-11-14T01:45:23.537Z,2016-11-14T01:48:59.992Z,173.8708617,-42.38520379,4.141354993,51.875,M,,NonLinLoc,,automatic,nz3drx,31,31,23,0.6685572793,152.107783,1.282755564,0
2016p859654,,2016-11-14T01:43:50.817Z,2016-11-14T01:47:02.969Z,173.7075685,-42.31204394,3.381991529,18.59375,M,,NonLinLoc,,automatic,nz3drx,20,20,12,0.1627880874,146.3402332,1.033640741,0
2016p859652,,2016-11-14T01:42:58.360Z,2016-11-14T01:45:37.373Z,176.2054862,-38.1545613,1.626469447,5.1171875,M,,NonLinLoc,,automatic,nz3drx,14,14,9,0.02411113011,138.7832892,0.3037639288,0
2016p859651,,2016-11-14T01:42:12.953Z,2016-11-14T01:44:47.042Z,173.4888059,-42.19887409,3.834001913,15.78125,M,,NonLinLoc,,automatic,nz3drx,26,26,18,0.2200159173,105.9941801,1.166270397,0
2016p859648,,2016-11-14T01:40:52.519Z,2016-11-14T01:44:49.964Z,174.2523914,-41.75650696,4.00614748,5.234375,M,,NonLinLoc,,automatic,nz3drx,63,63,46,0.02913608924,142.9704997,2.157798233,0
2016p859649,,2016-11-14T01:40:37.614Z,2016-11-14T01:44:52.981Z,172.9580668,-43.41698393,4.310635343,9.6875,M,,NonLinLoc,,automatic,nz3drx,18,18,12,0.3149266563,124.7612463,1.099897824,0
2016p859646,,2016-11-14T01:39:54.608Z,2016-11-14T01:41:50.010Z,173.7921814,-42.0909107,3.732540483,19.53125,M,,NonLinLoc,,automatic,nz3drx,12,12,10,0.3800141906,154.1846888,0.5061925469,0
2016p859642,,2016-11-14T01:37:37.927Z,2016-11-14T01:41:06.313Z,173.6025703,-42.42246532,3.892123791,17.65625,M,,NonLinLoc,,automatic,nz3drx,27,27,14,0.0473203485,182.3371781,1.052547779,0
2016p859639,,2016-11-14T01:35:49.001Z,2016-11-14T01:38:48.665Z,174.2146147,-41.71953039,3.944230948,11.09375,M,,NonLinLoc,,automatic,nz3drx,54,54,28,0.03117643864,102.4335653,1.42774518,0
2016p859638,,2016-11-14T01:35:28.828Z,2016-11-14T01:38:38.868Z,173.4865377,-42.40574515,4.084909957,21.40625,M,,NonLinLoc,,automatic,nz3drx,32,32,16,0.04000114972,88.63209482,1.370748379,0
2016p859635,,2016-11-14T01:34:00.892Z,2016-11-14T01:35:37.836Z,174.1049977,-41.74968037,2.993313809,22.34375,M,,NonLinLoc,,automatic,nz3drx,13,13,4,0.0812984259,121.9023138,0.4268486694,0
2016p859628,earthquake,2016-11-14T01:30:14.641Z,2016-11-14T01:39:33.529Z,173.7613041,-42.36700322,5.314153994,44.84375,M,,NonLinLoc,confirmed,manual,nz3drx,41,28,18,0.6566653164,151.133835,0.8959410507,0
2016p859626,,2016-11-14T01:29:19.420Z,2016-11-14T01:31:34.567Z,176.0322152,-39.0306643,3.958904523,30.3125,M,,NonLinLoc,,automatic,nz3drx,16,16,13,0.3985540363,250.9688944,1.217482206,0
2016p859625,,2016-11-14T01:28:22.102Z,2016-11-14T03:15:39.734Z,173.9509969,-42.06884987,5.481891223,35.46875,M,,NonLinLoc,,automatic,nz3drx,144,144,74,0.356008758,138.7372978,1.696622557,0
2016p859623,,2016-11-14T01:27:53.179Z,2016-11-14T01:30:18.268Z,174.5550223,-39.23242404,4.341830417,22.8125,M,,NonLinLoc,,automatic,nz3drx,21,21,15,0.191473365,90.25622128,1.56409496,0
2016p859622,,2016-11-14T01:27:07.062Z,2016-11-14T01:29:32.538Z,173.6354338,-42.29492713,4.899881936,24.6875,M,,NonLinLoc,,automatic,nz3drx,15,15,13,0.7576290243,186.311031,1.615641487,0
2016p859616,,2016-11-14T01:23:38.619Z,2016-11-14T01:27:34.734Z,173.6621146,-42.28402241,4.116596839,30.78125,M,,NonLinLoc,,automatic,nz3drx,97,97,66,0.1608011499,137.3206323,1.61059922,0
2016p859612,,2016-11-14T01:21:44.932Z,2016-11-14T01:24:05.104Z,174.2429162,-41.73704384,2.740726689,8.28125,M,,NonLinLoc,,automatic,nz3drx,18,18,11,0.02569380672,160.2386561,0.8182188583,0
2016p859609,,2016-11-14T01:19:47.775Z,2016-11-14T01:21:48.212Z,173.8836771,-41.90169832,2.791756078,58.4375,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.185101562,138.4895257,0.7012057205,0
